Count_Out,Count_In,station_id,station_name,longitude,latitude
302415,297622,14,"Belgrove Street, King's Cross",-0.123617,51.5299
299079,300051,191,"Hyde Park Corner, Hyde Park",-0.153521,51.5031
265593,253848,154,"Waterloo Station 3, Waterloo",-0.113864,51.504
211973,209673,307,"Black Lion Gate, Kensington Gardens",-0.187843,51.5099
210227,211920,303,"Albert Gate, Hyde Park",-0.158456,51.503
206322,196093,374,"Waterloo Station 1, Waterloo",-0.113864,51.504
176520,176371,213,"Wellington Arch, Hyde Park",-0.149569,51.5027
175902,237045,194,"Hop Exchange, The Borough",-0.0917738,51.5046
173653,172486,248,"Triangle Car Park, Hyde Park",-0.17028,51.5065
160640,162401,785,"Aquatic Centre, Queen Elizabeth Olympic Park",-0.0105106,51.5409
154528,163367,217,"Wormwood Street, Liverpool Street",-0.08242239999999999,51.5162
151462,158181,732,"Duke Street Hill, London Bridge",-0.087263,51.5063
148982,150593,132,"Bethnal Green Road, Shoreditch",-0.0747549,51.5236
147714,148033,111,"Park Lane, Hyde Park",-0.157276,51.51
147543,178519,251,"Brushfield Street, Liverpool Street",-0.079249,51.5189
145828,159673,762,"Storey's Gate, Westminster",-0.129699,51.5007
143890,140654,553,"Regent's Row, Haggerston ",-0.062546,51.5357
137554,141270,101,"Queen Street 1, Bank",-0.0929401,51.5116
137472,141636,341,"Craven Street, Strand",-0.126021,51.5081
129497,137976,427,"Cheapside, Bank",-0.0929403,51.514
129051,129191,404,"Palace Gate, Kensington Gardens",-0.1844,51.502
127829,135176,104,"Crosswall, Tower",-0.0771213,51.5116
125360,87133,361,"Waterloo Station 2, Waterloo",-0.113864,51.504
123006,146180,109,"Soho Square, Soho",-0.132329,51.5156
121409,136423,55,"Finsbury Circus, Liverpool Street",-0.0866855,51.5171
121258,120651,300,"Serpentine Car Park, Hyde Park",-0.17273,51.505
119946,130746,229,"Whitehall Place, Strand",-0.12318,51.5065
118930,129660,130,"Tower Gardens, Tower",-0.0754595,51.5095
117634,174057,66,"Holborn Circus, Holborn",-0.108657,51.518
116384,128857,278,"Tooley Street, Bermondsey",-0.079621,51.5035
115210,122639,541,"Green Park Station, Mayfair",-0.142844,51.5066
113438,113877,270,"Kennington Lane Rail Bridge, Vauxhall",-0.122492,51.4863
112973,134650,71,"Newgate Street, St. Paul's",-0.0988509,51.5154
112851,116622,356,"South Kensington Station, South Kensington",-0.173881,51.4944
112162,117015,73,"Old Street Station, St. Luke's",-0.0884862,51.5257
111421,110558,39,"Shoreditch High Street, Shoreditch",-0.0781309,51.5264
110938,122269,428,"Exhibition Road, Knightsbridge",-0.174554,51.4999
109823,120772,564,"Somerset House, Strand",-0.117619,51.5099
108773,109217,74,"Vauxhall Cross, Vauxhall",-0.12447,51.4859
108294,119942,199,"Great Tower Street, Monument",-0.08298960000000001,51.5105
107571,107657,350,"Queen's Gate, Kensington Gardens",-0.179854,51.5017
107471,86866,574,"Eagle Wharf Road, Hoxton",-0.09315,51.5336
103655,99413,695,"Islington Green, Angel",-0.102758,51.5364
103433,103404,153,"Bayswater Road, Hyde Park",-0.174293,51.5118
102373,103406,737,"Fulham Broadway, Walham Green",-0.194117,51.4799
100114,105577,272,"Baylis Road, Waterloo",-0.110699,51.5014
99608,131601,228,"St. James's Square, St. James's",-0.134621,51.5074
97766,107248,116,"Little Argyll Street, West End",-0.141424,51.5145
97297,96541,202,"Leman Street, Aldgate",-0.06954199999999999,51.5124
96194,118365,64,"William IV Street, Strand",-0.124749,51.5095
96180,89295,717,"Dunston Road, Haggerston",-0.0758857,51.5366
94469,93966,46,"Nesham Street, Wapping",-0.06691,51.5071
93558,92006,107,"Finsbury Leisure Centre, St. Luke's",-0.0963176,51.526
93428,115890,579,"Queen Street 2, Bank",-0.093051,51.5112
93061,102760,215,"Moorfields, Moorgate",-0.08828539999999999,51.5191
92619,96001,133,"Derry Street, Kensington",-0.191462,51.5014
92390,100121,32,"Leonard Circus, Shoreditch",-0.08443930000000001,51.5247
92059,98745,177,"Ashley Place, Victoria",-0.140948,51.4962
91409,92273,573,"Limerston Street, West Chelsea",-0.18119,51.4856
89958,92013,99,"Old Quebec Street, Marylebone",-0.15826400000000002,51.5146
89942,90095,405,"Gloucester Road Station, South Kensington",-0.182671,51.4942
89609,77283,225,"Notting Hill Gate Station, Notting Hill",-0.196422,51.5094
89165,93911,18,"Drury Lane, Covent Garden",-0.12222,51.5148
88983,89888,12,"Malet Street, Bloomsbury",-0.130432,51.5217
88463,89009,298,"Curlew Street, Shad Thames",-0.0741892,51.5023
88281,88334,282,"Royal London Hospital, Whitechapel",-0.0596421,51.5191
88266,99973,159,"Great Marlborough Street, Soho",-0.13784100000000002,51.5146
87987,85804,625,"Queen's Circus, Battersea Park",-0.149552,51.4776
87493,90656,95,"Aldersgate Street, Barbican",-0.0973402,51.5208
86303,93429,340,"Bank of England Museum, Bank",-0.0875874,51.5144
86221,85314,658,"Ethelburga Estate, Battersea Park",-0.164786,51.4773
85357,89876,192,"Wardour Street, Soho",-0.133202,51.5125
84210,92912,48,"Godliman Street, St. Paul's",-0.0991414,51.5125
